name,scientific_name,genus_species_variety,genus_species_original,description,image_url,producttilelink_URL,light_level,amount_light,water_needs,bloom_time,bloom_seasons,type,Text3,Text4,soil_type,Text5,height_text,height_num,Height,Text6,Text7,Text8,width,temperature,humidity,Text9,care_instructions,common_issues,grow_zones,grow_zones_text,Text12,Text13
"Michaelmas Daisy, Symphyotrichum",Aster Eventide,#VALUE!,"
      Aster novi-belgii 'Eventide' 
    ",Aster Eventide sports an eye-catching explosion of lavender-purple flowers with a cheery yellow center. Clusters of semi-double flowers are produced at the tips of branching stems and create a stunning display against the dark green foliage. Pairs nicely with grasses.,https://www.bluestoneperennials.com/img/ASEV/300/ASEV_0_Aster_Eventide.jpg.webp,https://www.bluestoneperennials.com/ASEV,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Early Fall to Late Fall,fall,Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            
                Early Fall to Late Fall
            ","Normal, Clay","
              
               Normal, Clay
            ",Medium,to,"Medium to Tall 24-30""","
              Medium to Tall 24-30"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Medium
            ","16-18""",,,"
              Plant 16-18"" apart
            ",Pinch back and divide like mums for best display. General rule of thumb is to pinch until 4th of July and not after. Pinching yields better branching and more flowers. Can be divided every 2-3 years in spring. Avoid wet overwintering conditions. Remove spent flowers to prevent reseeding.,,"3,4,5,6,7,8",3-8,"
    Pinch back and divide like mums for best display. General rule of thumb is to pinch until 4th of July and not after. Pinching yields better branching and more flowers. Can be divided every 2-3 years in spring. Avoid wet overwintering conditions. Remove spent flowers to prevent reseeding.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Long-Blooming
        
          
            
              
            
            OK in Containers
          
          
            
              
            
            Seaside/Salt Tolerant
          
      "
"Coral Bell, Alum Root, aka 'Leuchtkafer'",Heuchera Firefly,#VALUE!,"
      Heuchera x brizoides 'Firefly' 
    ","Vibrant shades of red on wispy, vertical stems. Vigorous and many-flowered, Heuchera's attractive foliage and airy flower panicles provide color and contrast. Bright flowers of Heuchera Firefly wave in the breeze from May through July. Perfect perennial for a shady courtyard, favorite container, or under deciduous trees.",https://www.bluestoneperennials.com/img/HEFF/300/HEFF_0_Heuchera_Firefly.jpg.webp,https://www.bluestoneperennials.com/HEFF,"Full Sun, Mostly Sun, Half Sun / Half Shade",Full Sun to Half Sun / Half Shade,,Early Summer to Late Summer,summer,Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            
                Early Summer to Late Summer
            ","Normal, Acidic","
              
               Normal, Acidic
            ",Short,"12""","Short 12"" (20"" in flower)","
              Short 12"" (20"" in flower)
            ","
              
            

              
            

              
            

              
            
            Full Sun to Half Sun / Half Shade
            ","

              Medium
            ","10""",,,"
              Plant 10"" to 16"" apart
            ","Benefits from deadheading. Watch for frost heaving - mulch can help. In cold climates, winter mulch applied after the ground freezes will help prevent root heaving. It keeps the mature crown in contact with the soil and keeps the soil moist in the summer as well. Must have good drainage over the winter, though, so don't over-do the overwintering mulching. Shear off any damaged leaves in early spring to make room for new foliage. Can be divided every 3 years in spring.",,"3,4,5,6,7,8",3-8,"
    Benefits from deadheading. Watch for frost heaving - mulch can help. In cold climates, winter mulch applied after the ground freezes will help prevent root heaving. It keeps the mature crown in contact with the soil and keeps the soil moist in the summer as well. Must have good drainage over the winter, though, so don't over-do the overwintering mulching. Shear off any damaged leaves in early spring to make room for new foliage. Can be divided every 3 years in spring.
    ","
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Evergreen
        
        
          
            
          
          Fragrant
        
        
          
            
          
          Attracts Hummingbirds
        
          
            
              
            
            Edgers
          
          
            
              
            
            OK in Containers
          
          
            
              
            
            Shade Tolerant
          
      "
Carpet Bugle,Ajuga Bronze Beauty,#VALUE!,"
      Ajuga reptans 'Bronze Beauty' 
    ",Burgundy-bronze foliage creates an illuminating backdrop for the blue flowering spikes that appear in spring. Ajuga Bronze Beauty does well in tubs and mixed containers as well as in rock gardens and borders. Ajuga are extremely hardy groundcovers that quickly form a dense carpet-like mat. Our plant spacing recommendations are based on how quickly groundcovers will spread in their first season of growth.,https://www.bluestoneperennials.com/img/AJBB/300/AJBB_0_Ajuga_Bronze_Beauty.jpg.webp,https://www.bluestoneperennials.com/AJBB,"Full Sun, Mostly Sun, Half Sun / Half Shade, Mostly Shade, Full Shade",Full Sun to Full Shade,,Late Spring to Early Summer,"spring,summer","Perennials,
 
 Groundcovers","
                
                  Perennials,
                
                  Groundcovers
                
              ","
              

            

              
            

              
            
                Late Spring to Early Summer
            ","Normal, Acidic, Clay","
              
               Normal, Acidic, Clay
            ",Short,"3""","Short 3""","
              Short 3"" 
            ","
              
            

              
            

              
            

              
            

              
            

              
            
            Full Sun to Full Shade
            ","

              Medium
            ","12""",,,"
              Plant 12"" apart
            ","If desired, spent flowers may be removed with hedge shears or a string trimmer for larger areas. Divide existing patches into individual rosettes in spring if clumps become overcrowded. To divide, separate rooted stems or take root cuttings in early summer.",,"3,4,5,6,7,8,9",3-9,"
    If desired, spent flowers may be removed with hedge shears or a string trimmer for larger areas. Divide existing patches into individual rosettes in spring if clumps become overcrowded. To divide, separate rooted stems or take root cuttings in early summer.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
          
            
              
            
            Dry Shade Tolerant
          
          
            
              
            
            Groundcovers
          
          
            
              
            
            OK in Containers
          
          
            
              
            
            Seaside/Salt Tolerant
          
          
            
              
            
            Shade Tolerant
          
          
            
              
            
            Foot Traffic Tolerant
          
      "
"Mum, Spoon Style Chrysanthemum",Chrysanthemum Ivory Pinwheel,#VALUE!,"
      Chrysanthemum  'Ivory Pinwheel' 
    ","Creamy white petals with a blush of yellow surround a buttery yellow center. From our Spoon & Quilled Mum collection, this Spoon type Mum offers interesting petals that flare at the tip to create a distinct spoon shape. Showy and reliable, Chrysanthemums are perennial performers for border gardens and fall color.",https://www.bluestoneperennials.com/img/MIVPI/300/MIVPI_0_mum_ivory_pinwheelDSC01149.jpg.webp,https://www.bluestoneperennials.com/MIVPI,Full Sun,Full Sun,,Early Fall to Late Fall,fall,"Perennials,
 
 Mums","
                
                  Perennials,
                
                  Mums
                
              ","
              

            

              
            

              
            

              
            
                Early Fall to Late Fall
            ",Normal,"
              
               Normal
            ",Medium,"16-24""","Medium 16-24""","
              Medium 16-24"" 
            ","
              
            

              
            
            Full Sun
            ","

              Medium
            ","16""",,,"
              Plant 16"" apart
            ","Mums are easy to grow. Likes a well-drained soil. Good drainage is especially important for successful overwintering. We trim the plants back before shipping to promote bushiness, but any ambitious shoot which is getting ahead of the plant should be tipped back. All growing tips should be pinched back until the 4th of July. Do not pinch after 4th of July. Can be divided in spring if needed or if center of clump is not producing new growth. Mulch for winter protection only in very cold areas and be sure to remove the mulch before the spring thaw. Soggy winter wet is very detrimental to Mums. Remove old foliage in spring or late fall. New growth comes from the roots.",,"5,6,7,8,9",5-9,"
    Mums are easy to grow. Likes a well-drained soil. Good drainage is especially important for successful overwintering. We trim the plants back before shipping to promote bushiness, but any ambitious shoot which is getting ahead of the plant should be tipped back. All growing tips should be pinched back until the 4th of July. Do not pinch after 4th of July. Can be divided in spring if needed or if center of clump is not producing new growth. Mulch for winter protection only in very cold areas and be sure to remove the mulch before the spring thaw. Soggy winter wet is very detrimental to Mums. Remove old foliage in spring or late fall. New growth comes from the roots.
    ","
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Long-Blooming
        
      "
"Athyrium, Japanese Painted Fern",Fern Japanese Painted,#VALUE!,"
      Fern niponicum 'Japanese Painted' 
    ","Colorful fronds of grey-green blended with wine red. A showy combination of one of the more popular ferns. Japanese Painted Fern has lacy leaves that are wide, and taper to a delicate point. Spreads gradually. Ferns are perfect for the shade garden. Lacy fronds soften the texture of other go-to shade classics like Hostas, Astilbe and Tiarella. The Latin name for this Fern is Athyrium n. pictum.",https://www.bluestoneperennials.com/img/FEJP/300/FEJP_0_Fern_Japanese-Painted-Fern.jpg.webp,https://www.bluestoneperennials.com/FEJP,"Mostly Sun, Half Sun / Half Shade, Mostly Shade, Full Shade",Mostly Sunny to Full Shade,,Not Applicable,,Perennials,"
                
                  Perennials
                
              ","
              

            

              
            
                Not Applicable
            ","Normal, Acidic, Sandy","
              
               Normal, Acidic, Sandy
            ",Short,"16""","Short 16""","
              Short 16"" 
            ","
              
            

              
            

              
            

              
            

              
            
            Mostly Sunny to Full Shade
            ","

              Medium
            ","18""",,,"
              Plant 18"" apart
            ","Prefers a moist, humus-rich soil. Allow foliage to remain over the winter to create a natural mulch. Clip off dead and damaged fronds in the spring. Rarely requires division, but if desired can be divided in spring or fall once large enough to have two or more crowns.",,"4,5,6,7,8",4-8,"
    Prefers a moist, humus-rich soil. Allow foliage to remain over the winter to create a natural mulch. Clip off dead and damaged fronds in the spring. Rarely requires division, but if desired can be divided in spring or fall once large enough to have two or more crowns.
    ","
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Rabbit Resistant
        
        
          
            
          
          Winter Interest
        
          
            
              
            
            For a Slope or Bank
          
          
            
              
            
            Edgers
          
          
            
              
            
            OK in Containers
          
          
            
              
            
            Shade Tolerant
          
      "
"Stonecrop, Petrosedum",Sedum Dream Dazzler,Sedum rupestre 'Dream Dazzler',"
      Sedum rupestre 'Dream Dazzler' 
      (PP31,227)
      
    ","Show-stopping color! Olive-green foliage in spring transforms to a sultry, smoky purple edged in sassy pink and cream. Full sun introduces richer colors – shade brings more green tones with blush-pink margins. Brilliant pink flower clusters late summer into fall. Stonecrop is a tough, easy-to-grow, and low-maintenance perennial. Plant Sedum Dream Dazzler where it can sprawl and tumble over a rock wall.  From the SunSparkler® Series, Sedum Dream Dazzler is bred for spectacular flower and foliage hues – stunning even before it blooms. Sedum will provide interest to your garden from the spring through to the first snow of winter.",https://www.bluestoneperennials.com/img/SEDD/300/SEDD-0-Sedum-Dream-Dazzler1-gw.jpg.webp,https://www.bluestoneperennials.com/SEDD,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Late Summer to Mid-Fall,"summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            
                Late Summer to Mid-Fall
            ","Normal, Clay, Sandy","
              
               Normal, Clay, Sandy
            ",Short,"15""","Short 15""","
              Short 15"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Low
            ","18""",,,"
              Plant 18"" apart
            ","Sedum prefer full sun and average to poor well-drained soil. Can be divided in spring. No need to deadhead during the growing season. Cut back in early spring, as new growth will come from the ground, first appearing as little nuggets pushing up through the soil. Pinch back once during early summer if height control is desired.",,"4,5,6,7,8,9",4-9,"
    Sedum prefer full sun and average to poor well-drained soil. Can be divided in spring. No need to deadhead during the growing season. Cut back in early spring, as new growth will come from the ground, first appearing as little nuggets pushing up through the soil. Pinch back once during early summer if height control is desired.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
        
          
            
          
          Winter Interest
        
          
            
              
            
            For a Slope or Bank
          
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            OK in Containers
          
          
            
              
            
            Seaside/Salt Tolerant
          
      "
"Threadleaf Coreopsis, Tickseed",Coreopsis Citrine,Coreopsis 'Citrine',"
      Coreopsis  'Citrine' 
      (PP22,478)
      
    ","Neon yellow, daisy-like flowers draw eyes right to the front of a border. No deadheading needed as new flowers appear above the older blooms. Fresh and clean with prolific flowering all summer long. The bright flowers of Coreopsis Citrine absolutely glow against the emerald-green foliage. The airy threadleaf foliage will soften and provide pleasing contrast with bold-leaved plants. Tickseed is a must-have addition to any sunny perennial garden.",https://www.bluestoneperennials.com/img/COCIT/300/COCIT-0-Coreopsis-Citrine2-tn.jpg.webp,https://www.bluestoneperennials.com/COCIT,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Early Summer to Early Fall,"summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            

              
            
                Early Summer to Early Fall
            ","Normal, Sandy","
              
               Normal, Sandy
            ",Short,"7""","Short 7""","
              Short 7"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","
              Plantable Pots (3.5x3.5x4"")
            ","20""",,,"
              Plant 20"" apart
            ",Likes a hot dry spot. Leave new fall growth at the base for overwintering. Benefits from division every 2-3 years in spring.,,"7,8,9",7-9,"
    Likes a hot dry spot. Leave new fall growth at the base for overwintering. Benefits from division every 2-3 years in spring.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Long-Blooming
        
          
            
              
            
            For a Slope or Bank
          
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            Humidity Tolerant
          
          
            
              
            
            Seaside/Salt Tolerant
          
      "
"Lenten Rose, Hellebore",Helleborus Merlin,Helleborus x ballardiae 'Merlin',"
      Helleborus x ballardiae 'Merlin' 
      (PP22,350 'Coseh810')
      
    ","Outward-facing, medium-pink flowers on thick plum-colored stems cast their spell nestled within the foliage. As the flowers mature, their color magically transforms to deeper cranberry-pink tones. From the Gold® series, Helleborus Merlin is a sturdy hybrid bred in Germany by Josef Heuger. Large, single flowers bloom early and long. Prominent veining on leathery evergreen foliage is showy even when not in bloom. These charming first-flowering perennials of spring are easy to grow and low maintenance. Float flowers in clear bowls for an elegant centerpiece.",https://www.bluestoneperennials.com/img/HEMR/300/HEMR-0-Helleborus-Merlin-sk.jpg.webp,https://www.bluestoneperennials.com/HEMR,"Mostly Sun, Half Sun / Half Shade, Mostly Shade, Full Shade",Mostly Sunny to Full Shade,,Early Spring to Mid-Spring,spring,Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            
                Early Spring to Mid-Spring
            ",Normal,"
              
               Normal
            ",Short,"12-15""","Short 12-15""","
              Short 12-15"" 
            ","
              
            

              
            

              
            

              
            

              
            
            Mostly Sunny to Full Shade
            ","

              Medium
            ","24""",,,"
              Plant 24"" apart
            ","Prefers humus-rich, well-drained soil and consistent moisture to establish, then are carefree. Spent flower heads can be cut back to promote new foliage growth or to prevent unwanted volunteer seedlings. Many plantlets will form around base of parent plant and will bloom around the third year if left alone. Division is generally not needed (or recommended) but can be performed in early spring if desired. Remove young side plantlets with roots and replant. Water well.",,"5,6,7,8,9",5-9,"
    Prefers humus-rich, well-drained soil and consistent moisture to establish, then are carefree. Spent flower heads can be cut back to promote new foliage growth or to prevent unwanted volunteer seedlings. Many plantlets will form around base of parent plant and will bloom around the third year if left alone. Division is generally not needed (or recommended) but can be performed in early spring if desired. Remove young side plantlets with roots and replant. Water well.
    ","
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Evergreen
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
        
          
            
          
          Winter Interest
        
          
            
              
            
            Edgers
          
          
            
              
            
            Shade Tolerant
          
      "
"Willowleaf Sunflower, Sunflower",Helianthus First Light,Helianthus salicifolius 'First Light',"
      Helianthus salicifolius 'First Light' 
      (PP13,150)
      
    ","Exploding into bloom for late summer color, this beacon of yellow will guide butterflies right to your garden. Hundreds of golden-yellow, 3” flowers with brown eyes complement mums, pumpkins, and fall leaf colors. Strong, pyramidal-shaped habit is self-supporting and seeds are sterile. The long-blooming, daisy-like flowers of Helianthus First Light engulf the blue-green, willow-like foliage. Enjoy fresh-cut bouquets, but leave some to dry on plants as the seed heads are a welcome food source for songbirds.",https://www.bluestoneperennials.com/img/HEFL/300/HEFL_0_Helianthus_First_Light_nc.jpg.webp,https://www.bluestoneperennials.com/HEFL,Full Sun,Full Sun,,Late Summer to Mid-Fall,"summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            
                Late Summer to Mid-Fall
            ","Normal, Sandy, Clay","
              
               Normal, Sandy, Clay
            ",Tall,3-4',Tall 3-4',"
              Tall 3-4' 
            ","
              
            

              
            
            Full Sun
            ","

              Medium
            ",2-3',,,"
              Plant 2-3' apart
            ","Prefers average, neutral to slightly alkaline soil. Well-drained soil is good for overwintering, but give Helianthus a good soaking if August begins to overpower. Can be divided in spring every 3-4 years.",,"5,6,7,8,9",5-9,"
    Prefers average, neutral to slightly alkaline soil. Well-drained soil is good for overwintering, but give Helianthus a good soaking if August begins to overpower. Can be divided in spring every 3-4 years.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Rabbit Resistant
        
          
            
              
            
            Seaside/Salt Tolerant
          
      "
Siberian Iris,Iris Concord Crush,#VALUE!,"
      Iris sibirica 'Concord Crush' 
    ","Violet-blue ruffled, multi-petaled flowers supply an exotic look to this dependable, low-maintenance flower. Its elegance is heightened by glowing yellow signals nestled among the lavish layers of petals. Blooming in late spring to early summer, some later rebloom can be expected from Iris Concord Crush. More delicately flowered than Bearded Iris, Siberians are very adaptable and easy to grow. Equally at home in the flower border, or a moist (even bog) garden.",https://www.bluestoneperennials.com/img/IRCC/300/IRCC_0a_Iris_Concord_Crush_bl.jpg.webp,https://www.bluestoneperennials.com/IRCC,"Full Sun, Mostly Sun, Half Sun / Half Shade",Full Sun to Half Sun / Half Shade,,Late Spring to Early Summer,"spring,summer",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            
                Late Spring to Early Summer
            ","Normal, Clay, Acidic","
              
               Normal, Clay, Acidic
            ",Medium,"24-36""","Medium 24-36""","
              Medium 24-36"" 
            ","
              
            

              
            

              
            

              
            
            Full Sun to Half Sun / Half Shade
            ","

              High
            ","20""",,,"
              Plant 20"" apart
            ","Low care plant - best to leave undisturbed. If transplanted or divided, they may take a couple of seasons to bloom again. Leave a few seed pods on for late season interest. Some self seeding may occur. Foliage develops a golden autumn color which holds into early winter. Cut down old foliage in spring.",,"3,4,5,6,7,8,9",3-9,"
    Low care plant - best to leave undisturbed. If transplanted or divided, they may take a couple of seasons to bloom again. Leave a few seed pods on for late season interest. Some self seeding may occur. Foliage develops a golden autumn color which holds into early winter. Cut down old foliage in spring.
    ","
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Rabbit Resistant
        
        
          
            
          
          Winter Interest
        
          
            
              
            
            For a Slope or Bank
          
          
            
              
            
            Humidity Tolerant
          
          
            
              
            
            Shade Tolerant
          
          
            
              
            
            Wet Site Tolerant
          
      "
Goldenrod,Solidago Peter Pan,#VALUE!,"
      Solidago virgaurea 'Peter Pan' 
    ","Magnificent sprays of warm yellow blossoms from this Solidago are produced in bursts like fireworks at the top of the plants. A little taller variety, attractive to butterflies and bees. In bloom for a long period of time. This US native pairs nicely with Asters in garden beds and borders.",https://www.bluestoneperennials.com/img/SOPP/300/SOPP_0_Solidago_Peter-Pan.jpg.webp,https://www.bluestoneperennials.com/SOPP,Full Sun,Full Sun,,Late Summer to Late Fall,"summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            

              
            
                Late Summer to Late Fall
            ","Normal, Clay","
              
               Normal, Clay
            ",Medium,to,"Medium to Tall 28""","
              Medium to Tall 28"" 
            ","
              
            

              
            
            Full Sun
            ","

              Medium
            ",2',,,"
              Plant 2' apart
            ","Avoid overly rich soils. For more compact plants, cut back by half in June or pinch back in May. This will also increase branching and bushiness. Can be divided every 2 - 3 years in spring. Spent flower stalks provide winter interest, but can be cut down pretty much anytime.",,"3,4,5,6,7,8,9",3-9,"
    Avoid overly rich soils. For more compact plants, cut back by half in June or pinch back in May. This will also increase branching and bushiness. Can be divided every 2 - 3 years in spring. Spent flower stalks provide winter interest, but can be cut down pretty much anytime.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Long-Blooming
        
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            Seaside/Salt Tolerant
          
      "
"Creeping Phlox, Moss Pink",Phlox White,#VALUE!,"
      Phlox subulata 'White' 
    ","Need a bold shot of color to herald spring's arrival? Creeping Phlox are an invaluable addition to any rock garden, foundation, or as an edger or groundcover. Sparkling flowers of White subulata Phlox blanket the evergreen, needle-like foliage. This pristine beauty will spread, covering any open sunny spot. An attractive eye-catching favorite that stands out in the night garden as well. Will cascade beautifully over a rock wall or slope. Blooming in mid-spring, it pairs nicely near tulips and daffodils. Our plant spacing recommendations are based on how quickly groundcovers will spread in their first season of growth.",https://www.bluestoneperennials.com/img/PHWH/300/PHWH_0_Phlox_White.jpg.webp,https://www.bluestoneperennials.com/PHWH,Full Sun,Full Sun,,Late Spring to Early Summer,"spring,summer","Perennials,
 
 Groundcovers","
                
                  Perennials,
                
                  Groundcovers
                
              ","
              

            

              
            

              
            
                Late Spring to Early Summer
            ","Normal, Sandy","
              
               Normal, Sandy
            ",Short,"4""","Short 4""","
              Short 4"" 
            ","
              
            

              
            
            Full Sun
            ","

              Low
            ","16-24""",,,"
              Plant 16-24"" apart
            ","No special care needed. Can be trimmed back after flowering to the low green foliage if lush new growth is needed. No need to prune in fall, clean-up winter damage in spring.",,"3,4,5,6,7,8,9",3-9,"
    No special care needed. Can be trimmed back after flowering to the low green foliage if lush new growth is needed. No need to prune in fall, clean-up winter damage in spring.
    ","
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Evergreen
        
        
          
            
          
          Rabbit Resistant
        
          
            
              
            
            For a Slope or Bank
          
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            Edgers
          
          
            
              
            
            Groundcovers
          
          
            
              
            
            Humidity Tolerant
          
      "
Catmint,Nepeta Chartreuse on the Loose,Nepeta 'Chartreuse on the Loose',"
      Nepeta  'Chartreuse on the Loose' 
      (PP35,867)
      
    ","All-Points Bulletin! Are you in pursuit of a carefree, drought-tolerant, fragrant, deer and rabbit-resistant perennial? Pollinator friendly too! Edge a pathway or front of the border with brilliant chartreuse foliage and lilac-blue flowers from early summer into fall. Nepeta Chartreuse on the Loose continues to produce flowers without being cut back. Deter deer by placing Catmint in front of more tasty plants. Trouble-free and hardy, a great selection for beginning gardeners and water-wise borders.",https://www.bluestoneperennials.com/img/NECH/300/NECH-0-Nepeta-Chartreuse-on-the-Loose2-wg.jpg.webp,https://www.bluestoneperennials.com/NECH,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Early Summer to Early Fall,"summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            

              
            
                Early Summer to Early Fall
            ","Normal, Sandy","
              
               Normal, Sandy
            ",Short,"8-10""","Short 8-10""","
              Short 8-10"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Low
            ","20-24""",,,"
              Plant 20-24"" apart
            ","Prefers dryish, not especially fertile soil. Long blooming, but spent flowers can be sheared off to promote rebloom and/or improve appearance. Cut back by 2/3 in July to promote reblooming in August to end of summer. Cut back in early spring to 4-6"". Can be divided every 3 - 4 years in spring.",,"3,4,5,6,7,8",3-8,"
    Prefers dryish, not especially fertile soil. Long blooming, but spent flowers can be sheared off to promote rebloom and/or improve appearance. Cut back by 2/3 in July to promote reblooming in August to end of summer. Cut back in early spring to 4-6"". Can be divided every 3 - 4 years in spring.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
          
            
              
            
            For a Slope or Bank
          
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            Seaside/Salt Tolerant
          
      "
"Love-Plant, Cupid's Dart",Catananche Major Armor Blue,#VALUE!,"
      Catananche caerulea 'Major Armor Blue' 
    ","Periwinkle-colored flowers resemble a cornflower and provide a great show when planted en masse. This flower was used by the Greeks and Romans for a powerful love potion; hence, the common names, Love Plant or Cupid’s Dart. Catananche Major offers a stunning accent for your summer garden.",https://www.bluestoneperennials.com/img/CAAB/300/CAAB_0_Catananche_Major_Armor_Blue.jpg.webp,https://www.bluestoneperennials.com/CAAB,Full Sun,Full Sun,,Early Summer to Late Summer,summer,Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            
                Early Summer to Late Summer
            ","Normal, Sandy","
              
               Normal, Sandy
            ",Medium,"16""","Medium 16""","
              Medium 16"" 
            ","
              
            

              
            
            Full Sun
            ","

              Low
            ","12""",,,"
              Plant 12"" apart
            ",Catananche can be divided in spring every year or so. Allow to self sow to ensure future generations. May need to amend clay soil to grow successfully. Cut off flower stems after bloom. Likes sun and well-drained soil.,,"4,5,6,7,8",4-8,"
    Catananche can be divided in spring every year or so. Allow to self sow to ensure future generations. May need to amend clay soil to grow successfully. Cut off flower stems after bloom. Likes sun and well-drained soil.
    ","
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Long-Blooming
        
          
            
              
            
            Hot Dry Site Tolerant
          
      "
"Cranesbill, Perennial Geranium",Geranium Biokovo Karmina,#VALUE!,"
      Geranium  'Biokovo Karmina' 
    ",Masses of deep rose flowers blanket the foliage from late spring to mid summer. Geranium Biokovo Karmina from the Biokovo Mountains in Europe makes a wonderful filler plant for any landscape. In fall the aromatic foliage takes on a red tint adding season extending interest. Geranium Biokovo is a naturally occurring hybrid of Geranium dalmaticum and Geranium macrorrhizum found in present-day Croatia.,https://www.bluestoneperennials.com/img/GEBK/300/GEBK_0_Geranium_Biokovo_Karmina.jpg.webp,https://www.bluestoneperennials.com/GEBK,"Full Sun, Mostly Sun, Half Sun / Half Shade, Mostly Shade",Full Sun to Mostly Shady,,Mid-Spring to Mid-Summer,"spring,summer",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            

              
            
                Mid-Spring to Mid-Summer
            ","Normal, Sandy, Acidic","
              
               Normal, Sandy, Acidic
            ",Short,"6-12""","Short 6-12""","
              Short 6-12"" 
            ","
              
            

              
            

              
            

              
            

              
            
            Full Sun to Mostly Shady
            ","

              Medium
            ","18""",,,"
              Plant 18"" apart
            ",Prefers compost-enriched soil that stays moist. Snip off spent flowering stems at the base or shear tops back to new growth to stimulate rebloom and freshen foliage. Generally does not need division but can be divided in spring or fall if desired.,,"5,6,7,8",5-8,"
    Prefers compost-enriched soil that stays moist. Snip off spent flowering stems at the base or shear tops back to new growth to stimulate rebloom and freshen foliage. Generally does not need division but can be divided in spring or fall if desired.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
        
          
            
          
          Winter Interest
        
          
            
              
            
            For a Slope or Bank
          
          
            
              
            
            Dry Shade Tolerant
          
          
            
              
            
            Edgers
          
          
            
              
            
            OK in Containers
          
          
            
              
            
            Shade Tolerant
          
      "
